Date,Description,Category,Amount,Payment_Method
2025-03-19,Necessary democratic.,Transport,274.56,Mobile Payment
2024-08-05,Growth sing.,Groceries,325.58,Credit Card
2024-09-14,Important himself book.,Entertainment,454.66,Mobile Payment
2025-01-04,Approach society.,Rent,414.18,Cash
2025-02-26,Opportunity specific.,Rent,40.35,Cash
2024-10-01,Already include finish.,Utilities,87.13,Credit Card
2025-01-25,From suffer.,Transport,157.27,Bank Transfer
2024-05-19,With gun.,Transport,375.73,Bank Transfer
2024-11-10,Direction choice force.,Dining,286.76,Cash
2024-07-18,Scientist ready.,Groceries,147.86,Cash
2024-11-06,Field describe pattern.,Groceries,66.56,Bank Transfer
2025-03-03,President rate send sister.,Transport,345.9,Cash
2024-05-25,Quickly listen program.,Rent,351.37,Credit Card
2025-03-29,Often player including response.,Rent,471.62,Credit Card
2024-10-06,Computer record interest.,Groceries,252.73,Mobile Payment
2025-04-20,High have charge.,Rent,249.43,Bank Transfer
2024-10-25,High hand operation.,Dining,44.82,Cash
2024-08-29,Race choice fact explain.,Rent,24.73,Mobile Payment
2024-04-23,Never.,Education,218.85,Credit Card
2024-06-12,Sister man.,Entertainment,164.55,Bank Transfer
2024-10-14,Mr current.,Groceries,128.93,Credit Card
2024-07-19,Vote last.,Utilities,50.21,Cash
2025-03-23,Throw own service.,Dining,481.15,Mobile Payment
2024-12-21,Idea sense garden.,Healthcare,418.8,Cash
2024-08-03,Join.,Entertainment,289.72,Cash
2024-08-16,Interest hot.,Utilities,475.64,Bank Transfer
2025-01-04,Writer certain per.,Rent,,Bank Transfer
2025-02-09,Instead.,Healthcare,337.78,Cash
2025-02-04,Off box.,Transport,138.41,Bank Transfer
2024-06-16,Including put forget.,Transport,24.91,Mobile Payment
2024-06-22,Traditional girl.,Dining,379.35,Mobile Payment
2025-02-25,Teacher challenge important financial.,Transport,237.9,Cash
2025-01-06,Dream week understand.,Healthcare,327.5,
2025-03-15,Catch rich continue.,Healthcare,458.46,Cash
2024-12-13,Meet hour.,Entertainment,94.84,Mobile Payment
2024-12-22,City strategy.,Groceries,294.74,Credit Card
2024-08-01,Such vote radio.,Education,319.22,Cash
2024-10-23,Attorney list.,Transport,248.4,Mobile Payment
2024-10-17,Next.,Dining,50.16,Credit Card
2024-11-23,Just.,Transport,177.24,Cash
2024-07-24,High ahead hope.,Entertainment,169.99,Mobile Payment
2024-07-06,Ten property.,Healthcare,336.72,Mobile Payment
2024-07-16,Something support.,Rent,429.58,Credit Card
2024-05-01,Owner couple.,Transport,168.25,Bank Transfer
2024-08-27,Anything account.,Groceries,348.37,Bank Transfer
2024-05-03,Alone her.,Rent,147.67,Credit Card
2024-08-06,Whether military from.,Entertainment,472.87,Credit Card
2024-07-30,Sit lawyer.,Transport,407.72,Cash
2025-02-01,Medical run should.,Rent,277.3,Bank Transfer
2024-10-31,Dog point.,Transport,230.14,Cash
2024-06-17,Tell.,,160.69,Mobile Payment
2024-11-02,,Entertainment,165.02,Credit Card
2024-05-04,Represent person trial.,Education,485.24,Cash
2024-08-17,Hair offer generation.,Healthcare,205.07,Credit Card
2025-04-05,Black find.,Utilities,259.73,Cash
2024-07-16,Teach control around.,Healthcare,494.12,Mobile Payment
2025-01-14,Our career common.,Healthcare,330.54,Mobile Payment
2024-10-20,Six travel writer.,Rent,273.58,Bank Transfer
2024-07-03,Dinner identify blood hospital.,Entertainment,209.56,Bank Transfer
2024-05-02,Character civil a.,Transport,97.85,Mobile Payment
2025-04-17,Perhaps politics.,Utilities,184.08,Cash
2024-09-17,Resource key cell.,Rent,379.44,Credit Card
2024-11-26,Understand join family when.,Utilities,314.58,Mobile Payment
2025-02-20,Everybody page.,Education,381.2,Mobile Payment
2025-04-01,Goal strong water.,Dining,105.76,Cash
2024-07-15,Middle budget.,Entertainment,276.86,Mobile Payment
2024-05-09,Understand meeting.,Rent,464.2,Mobile Payment
2024-09-14,,Healthcare,221.87,Cash
2024-07-30,Necessary feel goal book.,Groceries,350.63,Mobile Payment
2024-08-31,Training discussion.,Rent,65.11,Bank Transfer
2024-08-08,Often stuff.,Groceries,486.71,Bank Transfer
2024-04-26,Choose side.,Healthcare,306.39,Bank Transfer
2025-03-17,Tend kind billion.,Dining,123.45,Bank Transfer
2024-06-30,Training one great.,Entertainment,83.4,Mobile Payment
2025-03-31,Goal majority.,Transport,277.67,Credit Card
2024-07-19,Report successful.,Rent,278.36,Bank Transfer
2024-07-07,Trade sort tough.,Healthcare,51.14,Bank Transfer
2024-06-29,Meet let.,Rent,496.17,
,Light pay section book.,Education,456.9,Mobile Payment
2024-09-23,Drop question.,Dining,233.42,Cash
2024-12-12,Special side.,Education,63.15,Bank Transfer
2024-12-13,Center surface.,Utilities,416.91,Cash
2024-11-22,Live stand.,Entertainment,251.7,Bank Transfer
2025-03-25,Site already.,Utilities,359.72,Credit Card
2025-03-22,Answer girl.,Rent,256.89,Mobile Payment
2025-01-05,Hour state.,Entertainment,140.35,Mobile Payment
2025-03-03,Artist worry.,Dining,418.19,Cash
2024-07-31,Way.,Dining,490.22,Cash
2024-08-23,Child small area.,Healthcare,125.65,Mobile Payment
2024-05-23,Television community ahead.,Rent,277.88,Mobile Payment
2024-12-21,Discover exactly now.,Utilities,194.88,Mobile Payment
2025-03-27,Peace work common.,Education,461.32,Bank Transfer
2025-04-14,Interesting mission.,Transport,256.58,Bank Transfer
2024-05-14,Scene own.,Groceries,440.27,Credit Card
2025-03-27,Medical computer avoid.,Transport,432.69,Bank Transfer
2024-06-17,Smile.,Utilities,,Mobile Payment
2024-07-06,On conference human.,Utilities,396.05,Bank Transfer
